Country,Year,Month,age,Value
Austria,2015,04 ,Y_LT25,454.9
Austria,2015,05 ,TOTAL,1609.3
Austria,2015,05 ,Y25-74,1253.5
Austria,2015,05 ,Y_LT25,441.19999999999993
Austria,2015,06 ,TOTAL,1561.3999999999999
Austria,2015,06 ,Y25-74,1199.2
Austria,2015,06 ,Y_LT25,448.7
Austria,2015,07 ,TOTAL,1532.3999999999999
Austria,2015,07 ,Y25-74,1157.5
Austria,2015,07 ,Y_LT25,466.7
Austria,2015,08 ,TOTAL,1521.8
Austria,2015,08 ,Y25-74,1147.1999999999998
Austria,2015,08 ,Y_LT25,461.09999999999997
Austria,2015,09 ,TOTAL,1556.8999999999999
Austria,2015,09 ,Y25-74,1165.8000000000002
Austria,2015,09 ,Y_LT25,487.8
Austria,2015,10 ,TOTAL,1530.2
Austria,2015,10 ,Y25-74,1151.0
Austria,2015,10 ,Y_LT25,472.70000000000005
Austria,2015,11 ,TOTAL,1645.8000000000002
Austria,2015,11 ,Y25-74,1243.4
Austria,2015,11 ,Y_LT25,501.9
Austria,2015,12 ,TOTAL,1621.2
Austria,2015,12 ,Y25-74,1228.8999999999999
Austria,2015,12 ,Y_LT25,490.2
Austria,2016,01 ,TOTAL,1691.1999999999998
Austria,2016,01 ,Y25-74,1263.1000000000001
Austria,2016,01 ,Y_LT25,531.7
Austria,2016,02 ,TOTAL,1711.6
Austria,2016,02 ,Y25-74,1285.7
Austria,2016,02 ,Y_LT25,526.7
Austria,2016,03 ,TOTAL,1620.9
Austria,2016,03 ,Y25-74,1279.4
Austria,2016,03 ,Y_LT25,424.5
Austria,2016,04 ,TOTAL,1647.7
Austria,2016,04 ,Y25-74,1301.3000000000002
Austria,2016,04 ,Y_LT25,433.0
Austria,2016,05 ,TOTAL,1745.3999999999999
Austria,2016,05 ,Y25-74,1367.1
Austria,2016,05 ,Y_LT25,471.5
Austria,2016,06 ,TOTAL,1724.7
Austria,2016,06 ,Y25-74,1314.1
Austria,2016,06 ,Y_LT25,508.1
Austria,2016,07 ,TOTAL,1725.4
Austria,2016,07 ,Y25-74,1274.8999999999999
Austria,2016,07 ,Y_LT25,551.7
Austria,2016,08 ,TOTAL,1747.9
Austria,2016,08 ,Y25-74,1351.5
Austria,2016,08 ,Y_LT25,488.20000000000005
Austria,2016,09 ,TOTAL,1690.3999999999996
Austria,2016,09 ,Y25-74,1276.8
Austria,2016,09 ,Y_LT25,511.8999999999999
Austria,2016,10 ,TOTAL,1608.0
Austria,2016,10 ,Y25-74,1233.2000000000003
Austria,2016,10 ,Y_LT25,466.8
Austria,2016,11 ,TOTAL,1590.5000000000002
Austria,2016,11 ,Y25-74,1258.1
Austria,2016,11 ,Y_LT25,417.9
Austria,2016,12 ,TOTAL,1560.7000000000003
Austria,2016,12 ,Y25-74,1216.6
Austria,2016,12 ,Y_LT25,432.99999999999994
Austria,2017,01 ,TOTAL,1585.3000000000002
Austria,2017,01 ,Y25-74,1216.8
Austria,2017,01 ,Y_LT25,457.0
Austria,2017,02 ,TOTAL,1635.9999999999998
Austria,2017,02 ,Y25-74,1298.8000000000002
Austria,2017,02 ,Y_LT25,425.00000000000006
Austria,2017,03 ,TOTAL,1607.8
Austria,2017,03 ,Y25-74,1277.6000000000001
Austria,2017,03 ,Y_LT25,413.09999999999997
Austria,2017,04 ,TOTAL,1562.2999999999997
Austria,2017,04 ,Y25-74,1206.1
Austria,2017,04 ,Y_LT25,449.1
Austria,2017,05 ,TOTAL,1534.7
Austria,2017,05 ,Y25-74,1232.9
Austria,2017,05 ,Y_LT25,379.4
Austria,2017,06 ,TOTAL,1465.1
Austria,2017,06 ,Y25-74,1210.2
Austria,2017,06 ,Y_LT25,325.09999999999997
Austria,2017,07 ,TOTAL,1524.8000000000002
Austria,2017,07 ,Y25-74,1193.3000000000002
Austria,2017,07 ,Y_LT25,413.70000000000005
Austria,2017,08 ,TOTAL,1510.3999999999999
Austria,2017,08 ,Y25-74,1177.8
Austria,2017,08 ,Y_LT25,415.5
Austria,2017,09 ,TOTAL,1480.6999999999998
Austria,2017,09 ,Y25-74,1170.5
Austria,2017,09 ,Y_LT25,390.49999999999994
Austria,2017,10 ,TOTAL,1454.6999999999998
Austria,2017,10 ,Y25-74,1147.4
Austria,2017,10 ,Y_LT25,386.09999999999997
Austria,2017,11 ,TOTAL,1541.5
Austria,2017,11 ,Y25-74,1201.6
Austria,2017,11 ,Y_LT25,426.6
Austria,2017,12 ,TOTAL,1524.8000000000002
Austria,2017,12 ,Y25-74,1220.3
Austria,2017,12 ,Y_LT25,384.1
Austria,2018,01 ,TOTAL,1473.6
Austria,2018,01 ,Y25-74,1156.0
Austria,2018,01 ,Y_LT25,400.4000000000001
Austria,2018,02 ,TOTAL,1414.6
Austria,2018,02 ,Y25-74,1083.4
Austria,2018,02 ,Y_LT25,421.2
Austria,2018,03 ,TOTAL,1383.5
Austria,2018,03 ,Y25-74,1062.1999999999998
Austria,2018,03 ,Y_LT25,407.2
Austria,2018,04 ,TOTAL,1359.5
Austria,2018,04 ,Y25-74,1049.7000000000003
Austria,2018,04 ,Y_LT25,390.70000000000005
Austria,2018,05 ,TOTAL,1272.9
Austria,2018,05 ,Y25-74,969.3000000000001
Austria,2018,05 ,Y_LT25,382.2
Austria,2018,06 ,TOTAL,1330.5
Austria,2018,06 ,Y25-74,1030.1999999999998
Austria,2018,06 ,Y_LT25,376.0
Austria,2018,07 ,TOTAL,1392.4
Austria,2018,07 ,Y25-74,1067.6
Austria,2018,07 ,Y_LT25,402.7
Austria,2018,08 ,TOTAL,1370.0
Austria,2018,08 ,Y25-74,1091.6999999999998
Austria,2018,08 ,Y_LT25,349.5
Austria,2018,09 ,TOTAL,1389.6
Austria,2018,09 ,Y25-74,1087.1999999999998
Austria,2018,09 ,Y_LT25,380.1
Austria,2018,10 ,TOTAL,1371.5
Austria,2018,10 ,Y25-74,1050.7
Austria,2018,10 ,Y_LT25,403.0
Austria,2018,11 ,TOTAL,1289.2
Austria,2018,11 ,Y25-74,1019.0
Austria,2018,11 ,Y_LT25,342.7
Austria,2018,12 ,TOTAL,1343.1
Austria,2018,12 ,Y25-74,1072.5
Austria,2018,12 ,Y_LT25,342.5
Austria,2019,01 ,TOTAL,1347.1
Austria,2019,01 ,Y25-74,1099.6
Austria,2019,01 ,Y_LT25,313.8
Austria,2019,02 ,TOTAL,1375.3
Austria,2019,02 ,Y25-74,1124.5
Austria,2019,02 ,Y_LT25,319.0
Austria,2019,03 ,TOTAL,1341.8000000000002
Austria,2019,03 ,Y25-74,1087.2
Austria,2019,03 ,Y_LT25,324.8
Austria,2019,04 ,TOTAL,1310.1000000000001
Austria,2019,04 ,Y25-74,1048.8000000000002
Austria,2019,04 ,Y_LT25,333.4
Austria,2019,05 ,TOTAL,1262.5
Austria,2019,05 ,Y25-74,1006.2
Austria,2019,05 ,Y_LT25,328.70000000000005
Austria,2019,06 ,TOTAL,1214.7999999999997
Austria,2019,06 ,Y25-74,939.7999999999998
Austria,2019,06 ,Y_LT25,349.0
Austria,2019,07 ,TOTAL,1264.6
Austria,2019,07 ,Y25-74,936.5999999999999
Austria,2019,07 ,Y_LT25,409.4
Austria,2019,08 ,TOTAL,1279.9
Austria,2019,08 ,Y25-74,964.5
Austria,2019,08 ,Y_LT25,399.5
Austria,2019,09 ,TOTAL,1235.4
Austria,2019,09 ,Y25-74,973.8
Austria,2019,09 ,Y_LT25,332.79999999999995
Austria,2019,10 ,TOTAL,1229.1
Austria,2019,10 ,Y25-74,958.1999999999998
Austria,2019,10 ,Y_LT25,343.9
Austria,2019,11 ,TOTAL,1150.8
Austria,2019,11 ,Y25-74,883.8000000000001
Austria,2019,11 ,Y_LT25,336.29999999999995
Austria,2019,12 ,TOTAL,1206.3
Austria,2019,12 ,Y25-74,929.4
Austria,2019,12 ,Y_LT25,349.59999999999997
Austria,2020,01 ,TOTAL,1219.2999999999997
Austria,2020,01 ,Y25-74,921.1000000000001
Austria,2020,01 ,Y_LT25,379.0
Austria,2020,02 ,TOTAL,1294.3000000000002
Austria,2020,02 ,Y25-74,964.4
Austria,2020,02 ,Y_LT25,419.90000000000003
Austria,2020,03 ,TOTAL,1312.8000000000002
Austria,2020,03 ,Y25-74,996.4999999999999
Austria,2020,03 ,Y_LT25,399.40000000000003
Austria,2020,04 ,TOTAL,1377.6
Austria,2020,04 ,Y25-74,1024.1999999999998
Austria,2020,04 ,Y_LT25,452.1
Austria,2020,05 ,TOTAL,1628.9000000000003
Austria,2020,05 ,Y25-74,1276.3000000000002
Austria,2020,05 ,Y_LT25,454.9
Austria,2020,06 ,TOTAL,1636.8000000000002
Austria,2020,06 ,Y25-74,1322.8
Austria,2020,06 ,Y_LT25,402.20000000000005
