Country,Year,Month,Value,Year_Month
Germany,2020,05 ,22374.0,2020M05 
Germany,2020,06 ,22929.6,2020M06 
Greece,2019,01 ,11424.600000000002,2019M01 
Greece,2019,02 ,11377.4,2019M02 
Greece,2019,03 ,10936.199999999997,2019M03 
Greece,2019,04 ,10761.100000000002,2019M04 
Greece,2019,05 ,10427.8,2019M05 
Greece,2019,06 ,10154.499999999998,2019M06 
Greece,2019,07 ,10229.099999999999,2019M07 
Greece,2019,08 ,10165.300000000001,2019M08 
Greece,2019,09 ,10010.399999999998,2019M09 
Greece,2019,10 ,9970.099999999999,2019M10 
Greece,2019,11 ,10102.700000000004,2019M11 
Greece,2019,12 ,9869.3,2019M12 
Greece,2020,01 ,9836.499999999998,2020M01 
Greece,2020,02 ,9585.7,2020M02 
Greece,2020,03 ,8740.9,2020M03 
Greece,2020,04 ,9172.4,2020M04 
Greece,2020,05 ,0.0,2020M05 
Greece,2020,06 ,0.0,2020M06 
Hungary,2019,01 ,2149.7000000000003,2019M01 
Hungary,2019,02 ,2095.2000000000003,2019M02 
Hungary,2019,03 ,2070.2000000000007,2019M03 
Hungary,2019,04 ,2083.2000000000003,2019M04 
Hungary,2019,05 ,2067.3,2019M05 
Hungary,2019,06 ,2083.2000000000007,2019M06 
Hungary,2019,07 ,2043.5000000000002,2019M07 
Hungary,2019,08 ,2093.2,2019M08 
Hungary,2019,09 ,2134.0,2019M09 
Hungary,2019,10 ,2146.1,2019M10 
Hungary,2019,11 ,2061.3999999999996,2019M11 
Hungary,2019,12 ,2067.5,2019M12 
Hungary,2020,01 ,2089.2,2020M01 
Hungary,2020,02 ,2180.9,2020M02 
Hungary,2020,03 ,2223.6,2020M03 
Hungary,2020,04 ,2471.3,2020M04 
Hungary,2020,05 ,2857.6,2020M05 
Hungary,2020,06 ,0.0,2020M06 
Iceland,2019,01 ,194.0,2019M01 
Iceland,2019,02 ,197.10000000000002,2019M02 
Iceland,2019,03 ,184.70000000000002,2019M03 
Iceland,2019,04 ,229.6,2019M04 
Iceland,2019,05 ,265.3,2019M05 
Iceland,2019,06 ,200.79999999999993,2019M06 
Iceland,2019,07 ,183.19999999999993,2019M07 
Iceland,2019,08 ,232.39999999999995,2019M08 
Iceland,2019,09 ,210.90000000000006,2019M09 
Iceland,2019,10 ,231.79999999999998,2019M10 
Iceland,2019,11 ,238.20000000000005,2019M11 
Iceland,2019,12 ,212.5,2019M12 
Iceland,2020,01 ,229.3,2020M01 
Iceland,2020,02 ,263.09999999999997,2020M02 
Iceland,2020,03 ,192.19999999999996,2020M03 
Iceland,2020,04 ,327.4,2020M04 
Iceland,2020,05 ,391.5000000000001,2020M05 
Iceland,2020,06 ,251.09999999999997,2020M06 
Ireland,2019,01 ,1657.6,2019M01 
Ireland,2019,02 ,1615.0000000000002,2019M02 
Ireland,2019,03 ,1618.0,2019M03 
Ireland,2019,04 ,1690.2,2019M04 
Ireland,2019,05 ,1712.1000000000001,2019M05 
Ireland,2019,06 ,1739.6000000000004,2019M06 
Ireland,2019,07 ,1732.3999999999996,2019M07 
Ireland,2019,08 ,1677.8,2019M08 
Ireland,2019,09 ,1596.4,2019M09 
Ireland,2019,10 ,1553.3,2019M10 
Ireland,2019,11 ,1530.8999999999999,2019M11 
Ireland,2019,12 ,1542.9,2019M12 
Ireland,2020,01 ,1564.8000000000002,2020M01 
Ireland,2020,02 ,1558.5,2020M02 
Ireland,2020,03 ,1723.1,2020M03 
Ireland,2020,04 ,1798.3000000000006,2020M04 
Ireland,2020,05 ,1893.8,2020M05 
Ireland,2020,06 ,1849.3000000000002,2020M06 
Italy,2019,01 ,22680.6,2019M01 
Italy,2019,02 ,22748.999999999996,2019M02 
Italy,2019,03 ,22233.799999999996,2019M03 
Italy,2019,04 ,21438.499999999993,2019M04 
Italy,2019,05 ,20874.699999999997,2019M05 
Italy,2019,06 ,20229.899999999998,2019M06 
Italy,2019,07 ,20022.5,2019M07 
Italy,2019,08 ,19052.5,2019M08 
Italy,2019,09 ,20129.0,2019M09 
Italy,2019,10 ,20407.600000000002,2019M10 
Italy,2019,11 ,20429.8,2019M11 
Italy,2019,12 ,20301.200000000004,2019M12 
Italy,2020,01 ,11293.8,2020M01 
Italy,2020,02 ,10994.7,2020M02 
Italy,2020,03 ,8731.8,2020M03 
Italy,2020,04 ,6931.8,2020M04 
Italy,2020,05 ,8669.6,2020M05 
Italy,2020,06 ,9890.500000000002,2020M06 
Japan,2019,01 ,10074.199999999999,2019M01 
Japan,2019,02 ,9494.0,2019M02 
Japan,2019,03 ,10418.1,2019M03 
Japan,2019,04 ,10418.099999999999,2019M04 
Japan,2019,05 ,9896.599999999999,2019M05 
Japan,2019,06 ,9735.400000000001,2019M06 
Japan,2019,07 ,9373.2,2019M07 
Japan,2019,08 ,9435.0,2019M08 
Japan,2019,09 ,10080.4,2019M09 
Japan,2019,10 ,9939.0,2019M10 
Japan,2019,11 ,9093.0,2019M11 
Japan,2019,12 ,8910.7,2019M12 
Japan,2020,01 ,9613.4,2020M01 
Japan,2020,02 ,9696.8,2020M02 
Japan,2020,03 ,10539.199999999997,2020M03 
Japan,2020,04 ,11184.699999999999,2020M04 
Japan,2020,05 ,11906.499999999998,2020M05 
Japan,2020,06 ,0.0,2020M06 
Latvia,2019,01 ,1038.5,2019M01 
Latvia,2019,02 ,1021.1000000000001,2019M02 
Latvia,2019,03 ,995.1999999999999,2019M03 
Latvia,2019,04 ,981.2999999999998,2019M04 
Latvia,2019,05 ,974.0999999999999,2019M05 
Latvia,2019,06 ,972.5,2019M06 
Latvia,2019,07 ,957.1999999999999,2019M07 
Latvia,2019,08 ,919.8000000000001,2019M08 
Latvia,2019,09 ,883.1000000000001,2019M09 
Latvia,2019,10 ,859.6999999999998,2019M10 
Latvia,2019,11 ,884.9,2019M11 
Latvia,2019,12 ,975.3,2019M12 
Latvia,2020,01 ,1051.8999999999996,2020M01 
Latvia,2020,02 ,1071.4999999999998,2020M02 
Latvia,2020,03 ,1149.8999999999999,2020M03 
Latvia,2020,04 ,1316.7,2020M04 
Latvia,2020,05 ,1382.4,2020M05 
Latvia,2020,06 ,1396.7000000000005,2020M06 
Lithuania,2019,01 ,1297.8999999999999,2019M01 
Lithuania,2019,02 ,1299.5,2019M02 
Lithuania,2019,03 ,1304.6,2019M03 
Lithuania,2019,04 ,1262.7999999999997,2019M04 
Lithuania,2019,05 ,1272.3999999999999,2019M05 
Lithuania,2019,06 ,1315.3,2019M06 
Lithuania,2019,07 ,1290.1000000000001,2019M07 
Lithuania,2019,08 ,1329.0,2019M08 
Lithuania,2019,09 ,1343.5,2019M09 
Lithuania,2019,10 ,1324.1000000000001,2019M10 
Lithuania,2019,11 ,1375.9,2019M11 
Lithuania,2019,12 ,1416.3,2019M12 
Lithuania,2020,01 ,1413.5,2020M01 
Lithuania,2020,02 ,1448.8000000000002,2020M02 
Lithuania,2020,03 ,1527.1000000000001,2020M03 
Lithuania,2020,04 ,1811.9000000000005,2020M04 
Lithuania,2020,05 ,1983.1000000000001,2020M05 
Lithuania,2020,06 ,2039.7,2020M06 
Luxembourg,2019,01 ,411.59999999999997,2019M01 
Luxembourg,2019,02 ,435.8,2019M02 
Luxembourg,2019,03 ,449.5000000000001,2019M03 
Luxembourg,2019,04 ,450.7,2019M04 
Luxembourg,2019,05 ,447.79999999999995,2019M05 
Luxembourg,2019,06 ,450.79999999999995,2019M06 
Luxembourg,2019,07 ,457.69999999999993,2019M07 
Luxembourg,2019,08 ,447.29999999999995,2019M08 
Luxembourg,2019,09 ,439.29999999999995,2019M09 
Luxembourg,2019,10 ,453.20000000000005,2019M10 
Luxembourg,2019,11 ,458.0,2019M11 
Luxembourg,2019,12 ,478.70000000000005,2019M12 
Luxembourg,2020,01 ,489.0,2020M01 
Luxembourg,2020,02 ,487.70000000000005,2020M02 
Luxembourg,2020,03 ,545.0999999999999,2020M03 
Luxembourg,2020,04 ,624.6,2020M04 
Luxembourg,2020,05 ,645.2999999999998,2020M05 
Luxembourg,2020,06 ,640.8000000000001,2020M06 
Malta,2019,01 ,263.3,2019M01 
Malta,2019,02 ,273.5,2019M02 
Malta,2019,03 ,262.6,2019M03 
Malta,2019,04 ,250.79999999999998,2019M04 
Malta,2019,05 ,242.0,2019M05 
Malta,2019,06 ,235.20000000000005,2019M06 
Malta,2019,07 ,241.0,2019M07 
Malta,2019,08 ,241.29999999999998,2019M08 
Malta,2019,09 ,244.09999999999997,2019M09 
Malta,2019,10 ,242.29999999999995,2019M10 
Malta,2019,11 ,243.60000000000002,2019M11 
Malta,2019,12 ,237.60000000000005,2019M12 
Malta,2020,01 ,249.4,2020M01 
Malta,2020,02 ,250.0,2020M02 
Malta,2020,03 ,257.7,2020M03 
Malta,2020,04 ,296.90000000000003,2020M04 
Malta,2020,05 ,312.80000000000007,2020M05 
Malta,2020,06 ,305.8,2020M06 
Netherlands,2019,01 ,4179.5,2019M01 
Netherlands,2019,02 ,3967.300000000001,2019M02 
Netherlands,2019,03 ,3905.9,2019M03 
Netherlands,2019,04 ,3760.2,2019M04 
Netherlands,2019,05 ,3732.4000000000005,2019M05 
Netherlands,2019,06 ,3818.5000000000005,2019M06 
Netherlands,2019,07 ,3775.7000000000003,2019M07 
Netherlands,2019,08 ,3844.600000000001,2019M08 
Netherlands,2019,09 ,3996.2000000000007,2019M09 
Netherlands,2019,10 ,4015.1,2019M10 
Netherlands,2019,11 ,4001.100000000001,2019M11 
Netherlands,2019,12 ,3622.7999999999993,2019M12 
Netherlands,2020,01 ,3615.100000000001,2020M01 
Netherlands,2020,02 ,3509.7000000000016,2020M02 
Netherlands,2020,03 ,3484.600000000001,2020M03 
Netherlands,2020,04 ,3946.9000000000005,2020M04 
Netherlands,2020,05 ,4097.299999999999,2020M05 
Netherlands,2020,06 ,4967.8,2020M06 
Norway,2019,01 ,1399.9,2019M01 
Norway,2019,02 ,1416.1999999999998,2019M02 
Norway,2019,03 ,1354.2,2019M03 
Norway,2019,04 ,1288.6,2019M04 
Norway,2019,05 ,1323.7000000000003,2019M05 
Norway,2019,06 ,1392.1000000000004,2019M06 
Norway,2019,07 ,1463.0,2019M07 
Norway,2019,08 ,1439.1000000000001,2019M08 
Norway,2019,09 ,1479.1999999999998,2019M09 
Norway,2019,10 ,1452.3,2019M10 
Norway,2019,11 ,1473.5,2019M11 
Norway,2019,12 ,1459.0,2019M12 
Norway,2020,01 ,1423.8,2020M01 
Norway,2020,02 ,1373.2,2020M02 
Norway,2020,03 ,1377.5000000000002,2020M03 
Norway,2020,04 ,1548.1999999999998,2020M04 
Norway,2020,05 ,1751.3999999999999,2020M05 
Norway,2020,06 ,0.0,2020M06 
Poland,2019,01 ,8126.9,2019M01 
Poland,2019,02 ,7991.1,2019M02 
Poland,2019,03 ,7650.500000000002,2019M03 
Poland,2019,04 ,7136.600000000001,2019M04 
Poland,2019,05 ,6824.500000000001,2019M05 
Poland,2019,06 ,6664.099999999999,2019M06 
Poland,2019,07 ,6630.900000000001,2019M07 
Poland,2019,08 ,6544.900000000001,2019M08 
Poland,2019,09 ,6381.800000000001,2019M09 
Poland,2019,10 ,6126.500000000001,2019M10 
Poland,2019,11 ,6006.400000000001,2019M11 
Poland,2019,12 ,6035.700000000001,2019M12 
Poland,2020,01 ,6456.999999999999,2020M01 
Poland,2020,02 ,6433.5,2020M02 
Poland,2020,03 ,6049.7,2020M03 
Poland,2020,04 ,6007.2,2020M04 
Poland,2020,05 ,6047.5,2020M05 
Poland,2020,06 ,6254.3,2020M06 
Portugal,2019,01 ,4408.5,2019M01 
Portugal,2019,02 ,4373.3,2019M02 
Portugal,2019,03 ,4331.299999999999,2019M03 
Portugal,2019,04 ,4356.199999999999,2019M04 
Portugal,2019,05 ,4331.699999999998,2019M05 
Portugal,2019,06 ,4275.199999999999,2019M06 
Portugal,2019,07 ,4225.9,2019M07 
Portugal,2019,08 ,4230.299999999999,2019M08 
Portugal,2019,09 ,4346.499999999999,2019M09 
Portugal,2019,10 ,4350.5999999999985,2019M10 
Portugal,2019,11 ,4458.700000000001,2019M11 
Portugal,2019,12 ,4511.400000000001,2019M12 
Portugal,2020,01 ,4568.5,2020M01 
Portugal,2020,02 ,4340.699999999999,2020M02 
Portugal,2020,03 ,4116.700000000001,2020M03 
Portugal,2020,04 ,4106.4,2020M04 
Portugal,2020,05 ,3712.9000000000015,2020M05 
Portugal,2020,06 ,4467.799999999998,2020M06 
Romania,2019,01 ,4533.4000000000015,2019M01 
Romania,2019,02 ,4440.000000000001,2019M02 
Romania,2019,03 ,4320.500000000001,2019M03 
Romania,2019,04 ,4460.799999999999,2019M04 
Romania,2019,05 ,4373.5,2019M05 
Romania,2019,06 ,4320.4,2019M06 
Romania,2019,07 ,4481.700000000001,2019M07 
Romania,2019,08 ,4389.800000000001,2019M08 
Romania,2019,09 ,4573.700000000001,2019M09 
Romania,2019,10 ,4427.000000000003,2019M10 
Romania,2019,11 ,4508.100000000001,2019M11 
Romania,2019,12 ,4573.100000000002,2019M12 
Romania,2020,01 ,4445.6,2020M01 
Romania,2020,02 ,4676.400000000001,2020M02 
Romania,2020,03 ,5161.3,2020M03 
Romania,2020,04 ,4656.200000000001,2020M04 
Romania,2020,05 ,5002.6,2020M05 
Romania,2020,06 ,4967.0,2020M06 
Slovakia,2019,01 ,2193.2,2019M01 
Slovakia,2019,02 ,2165.7,2019M02 
Slovakia,2019,03 ,2124.3,2019M03 
Slovakia,2019,04 ,2105.2,2019M04 
Slovakia,2019,05 ,2108.5000000000005,2019M05 
Slovakia,2019,06 ,2134.3,2019M06 
Slovakia,2019,07 ,2162.7999999999997,2019M07 
Slovakia,2019,08 ,2159.1999999999994,2019M08 
Slovakia,2019,09 ,2171.0,2019M09 
Slovakia,2019,10 ,2125.7000000000003,2019M10 
Slovakia,2019,11 ,2094.1000000000004,2019M11 
Slovakia,2019,12 ,2085.9000000000005,2019M12 
Slovakia,2020,01 ,2240.600000000001,2020M01 
Slovakia,2020,02 ,2236.899999999999,2020M02 
Slovakia,2020,03 ,2127.8999999999996,2020M03 
Slovakia,2020,04 ,2352.7000000000003,2020M04 
Slovakia,2020,05 ,2403.2000000000003,2020M05 
Slovakia,2020,06 ,2451.1999999999994,2020M06 
Slovenia,2019,01 ,736.4000000000001,2019M01 
Slovenia,2019,02 ,734.2,2019M02 
Slovenia,2019,03 ,719.8,2019M03 
Slovenia,2019,04 ,674.0000000000002,2019M04 
Slovenia,2019,05 ,672.6000000000001,2019M05 
Slovenia,2019,06 ,692.5000000000002,2019M06 
